starttime	seconds	ctime	dtime	ttime	wait
Wed May 13 19:59:50 2015	1431539990	25	211	236	56
Wed May 13 19:59:50 2015	1431539990	33	212	245	38
Wed May 13 19:59:51 2015	1431539991	33	215	248	61
Wed May 13 19:59:50 2015	1431539990	22	227	249	58
Wed May 13 19:59:51 2015	1431539991	20	237	257	63
Wed May 13 19:59:51 2015	1431539991	34	229	263	36
Wed May 13 19:59:50 2015	1431539990	58	217	275	54
Wed May 13 19:59:51 2015	1431539991	44	235	279	39
Wed May 13 19:59:51 2015	1431539991	36	251	287	65
Wed May 13 19:59:51 2015	1431539991	38	255	293	52
Wed May 13 19:59:52 2015	1431539992	29	208	237	56
Wed May 13 19:59:52 2015	1431539992	36	221	257	40
Wed May 13 19:59:52 2015	1431539992	33	230	263	62
Wed May 13 19:59:52 2015	1431539992	36	229	265	61
Wed May 13 19:59:52 2015	1431539992	56	211	267	47
Wed May 13 19:59:52 2015	1431539992	18	256	274	46
Wed May 13 19:59:52 2015	1431539992	45	231	276	48
Wed May 13 19:59:52 2015	1431539992	44	241	285	25
Wed May 13 19:59:53 2015	1431539993	35	340	375	60
Wed May 13 19:59:53 2015	1431539993	32	356	388	40
